,ymd,hour,data_source,sum(total_bytes)
0,2018-07-24,7,conda-forge,197989608
1,2019-06-04,4,pyviz,252452
2,2018-11-03,4,pyviz,258052
3,2019-02-11,0,pyviz,164882
4,2018-07-06,15,anaconda,781414754805
5,2019-08-01,20,conda-forge,348576786616
6,2018-07-21,9,anaconda,321118186288
7,2018-09-17,2,anaconda,445907115290
8,2017-11-26,10,anaconda,187679604804
9,2017-11-27,21,conda-forge,126852902
10,2019-03-23,8,bioconda,7511469
11,2017-08-11,2,anaconda,188875772245
12,2018-03-22,11,bioconda,6300771
13,2019-08-24,6,conda-forge,96503904754
14,2017-10-05,2,anaconda,291564093016
15,2017-05-02,3,conda-forge,18400986
16,2018-06-21,14,pyviz,92092
17,2018-02-04,13,conda-forge,59458950
18,2018-03-03,9,bioconda,4656478
19,2019-01-30,6,anaconda,539658938968
20,2019-01-06,19,anaconda,649331030751
21,2019-03-08,10,anaconda,1393657567133
22,2018-04-08,23,anaconda,70790637251
23,2019-08-16,16,bioconda,8062517275
24,2019-08-17,6,anaconda,775809248439
25,2017-08-14,19,conda-forge,101452316
26,2017-11-11,1,anaconda,277813056627
27,2018-10-15,10,conda-forge,323094181
28,2019-07-03,14,anaconda,1536211454208
29,2019-07-09,6,bioconda,4097463971
30,2018-12-15,17,anaconda,552033028572
31,2019-08-28,6,conda-forge,221002423278
32,2017-12-24,5,bioconda,541372
33,2019-03-20,22,bioconda,8798366
34,2019-07-21,7,bioconda,3888456118
35,2017-05-29,8,conda-forge,51596954
36,2017-09-08,11,anaconda,260275081582
37,2017-12-23,11,conda-forge,46868231
38,2019-06-15,22,anaconda,1182103040385
39,2018-10-22,12,bioconda,15676109
40,2019-05-09,1,anaconda,1179957122521
41,2019-06-19,14,pyviz,441216
42,2018-09-03,10,anaconda,603786918320
43,2017-11-20,9,anaconda,409415192238
44,2019-07-26,17,pyviz,1914237
45,2017-03-30,14,bioconda,6913562
46,2018-12-23,11,anaconda,610629351843
47,2018-09-10,15,bioconda,9786275
48,2017-12-08,15,conda-forge,154703671
49,2018-02-01,8,bioconda,3903996
50,2019-05-16,18,anaconda,1689368497458
51,2017-04-14,14,conda-forge,46117676
52,2018-03-16,18,conda-forge,156094737
53,2018-07-15,6,anaconda,358220957947
54,2018-02-15,8,anaconda,517192029662
55,2017-07-28,13,anaconda,314298036192
56,2018-06-17,6,bioconda,628192
57,2019-04-18,9,conda-forge,230364445744
58,2017-07-30,2,anaconda,313638429799
59,2019-02-07,5,pyviz,47050
60,2017-07-14,2,anaconda,223289389458
61,2017-01-19,19,anaconda,279853086076
62,2019-03-06,3,pyviz,124239
63,2019-06-15,13,pyviz,395489
64,2018-09-13,7,conda-forge,251305039
65,2018-04-20,21,bioconda,3458830
66,2019-01-06,11,conda-forge,82733834908
67,2019-05-09,11,pyviz,225141
68,2018-05-26,16,bioconda,544462
69,2017-09-04,2,bioconda,1037308
70,2018-12-06,2,anaconda,1001028079116
71,2019-01-22,5,anaconda,1046559828522
72,2018-06-04,17,anaconda,715887632980
73,2019-06-16,21,bioconda,2593690674
74,2019-06-07,3,conda-forge,216683263835
75,2017-04-21,16,bioconda,6360030
76,2018-10-26,17,bioconda,12526765
77,2019-02-25,9,bioconda,15384094
78,2017-12-24,17,conda-forge,40001397
79,2017-05-12,22,anaconda,200752336874
80,2019-02-19,20,bioconda,9619694
81,2019-02-23,8,anaconda,826271158318
82,2018-10-10,1,bioconda,3736397
83,2018-05-02,0,bioconda,5154532
84,2018-02-11,4,bioconda,1433067
85,2018-05-18,11,bioconda,11202093
86,2019-08-12,0,anaconda,673244384387
87,2018-07-09,15,anaconda,757640097505
88,2018-01-26,17,bioconda,10583332
89,2017-07-28,2,bioconda,1643947
90,2019-08-27,16,bioconda,6051643068
91,2017-11-03,13,conda-forge,125168070
92,2018-07-09,4,anaconda,337251309827
93,2018-01-19,22,conda-forge,148287598
94,2019-01-03,18,anaconda,1198535170469
95,2017-07-28,9,anaconda,230568558353
96,2017-05-13,3,bioconda,750329
97,2018-02-15,2,anaconda,290756744208
98,2017-05-15,7,bioconda,1297904
99,2019-05-14,1,bioconda,11864418914
100,2017-11-17,7,bioconda,1178913
101,2017-08-01,23,conda-forge,94473454
102,2019-05-21,7,anaconda,1541023038975
103,2017-07-20,8,anaconda,276658627888
104,2017-05-03,10,conda-forge,31381256
105,2019-03-29,12,pyviz,194014
106,2019-08-15,23,bioconda,10145973250
107,2017-11-12,5,bioconda,709018
108,2019-05-24,3,conda-forge,147255820795
109,2017-08-31,13,anaconda,301891065316
110,2019-06-13,1,anaconda,1610581509134
111,2017-06-01,7,bioconda,2785861
112,2018-12-26,4,conda-forge,58894322592
113,2017-09-10,12,bioconda,1214866
114,2018-01-16,20,bioconda,3063663
115,2019-08-22,9,conda-forge,225278995552
116,2019-08-11,21,conda-forge,124570117576
117,2019-04-20,20,anaconda,785655314027
118,2017-07-02,16,conda-forge,31781383
119,2018-01-31,8,conda-forge,111413087
120,2017-03-24,7,anaconda,130033212796
121,2016-11-23,20,anaconda,202721583753
122,2017-12-08,8,conda-forge,73166910
123,2017-10-03,1,bioconda,3452245
124,2017-04-25,6,conda-forge,42469412
125,2017-06-05,22,conda-forge,85412593
126,2019-08-11,14,bioconda,3451699097
127,2019-08-19,0,bioconda,4168882744
128,2019-04-06,19,conda-forge,93416350678
129,2017-04-06,10,anaconda,207825487734
130,2018-11-05,15,conda-forge,421833572
131,2017-12-08,7,bioconda,2230620
132,2018-12-29,23,conda-forge,113175710475
133,2017-08-22,18,conda-forge,135781447
134,2019-03-01,15,conda-forge,291247610158
135,2018-01-20,13,bioconda,4145422
136,2018-11-03,7,anaconda,496342265307
137,2018-11-16,13,pyviz,701877
138,2019-04-19,4,conda-forge,279244946009
139,2018-06-06,21,pyviz,88929
140,2017-10-15,3,anaconda,148436267431
141,2018-12-14,1,pyviz,163323
142,2019-05-23,12,pyviz,36333
143,2018-03-25,6,anaconda,223637437217
144,2019-01-29,8,anaconda,361386050489
145,2019-01-09,11,anaconda,901412668437
146,2019-07-13,23,anaconda,432774268755
147,2018-03-14,12,conda-forge,155068330
148,2016-12-17,14,anaconda,45939379019
149,2018-06-30,5,bioconda,2313703
150,2018-05-05,7,conda-forge,44959763
151,2018-01-15,4,bioconda,433466
152,2019-03-11,1,pyviz,630901
153,2017-01-02,3,anaconda,66837474088
154,2018-06-28,20,conda-forge,247748131
